3943,1
3952,1
3958,3
3961,5
3962,4
3965,4
3968,8
3971,33
3972,4
3974,9
3975,6
3977,29
3978,39
3980,14
3981,39
3984,133
3987,64
3988,18
3990,140
3991,95
3993,41
3994,84
3996,75
3997,307
4000,202
4003,400
4004,88
4006,148
4007,101
4009,260
4010,348
4012,54
4013,217
4016,666
4019,271
4020,54
4022,425
4023,283
4025,140
4026,203
4028,161
4029,619
4032,354
4035,652
4036,148
4038,199
4039,136
4041,352
4042,487
4044,72
4045,301
4048,793
4051,334
4052,96
4054,548
4055,374
4057,163
4058,253
4060,178
4061,746
4064,428
4067,738
4068,221
4070,294
4071,201
4073,456
4074,659
4076,121
4077,408
4080,1216
4083,413
4084,123
4086,767
4087,530
4089,246
4090,332
4092,290
4093,1165
4096,670
4099,1237
4100,270
4102,408
4103,285
4105,683
4106,1047
4108,137
4109,586
4112,1762
4115,594
4116,139
4118,1035
4119,754
4121,299
4122,451
4124,344
4125,1316
4128,665
4131,1227
4132,291
4134,373
4135,267
4137,584
4138,945
4140,109
4141,464
4144,1353
4147,454
4148,91
4150,772
4151,484
4153,183
4154,311
4156,233
4157,980
4160,445
4163,834
4164,225
4166,225
4167,142
4169,358
4170,544
4172,70
4173,301
4176,841
4179,264
4180,66
4182,465
4183,287
4185,124
4186,177
4188,151
4189,527
4192,250
4195,446
4196,121
4198,146
4199,106
4201,220
4202,305
4204,56
4205,185
4208,508
4211,168
4212,40
4214,268
4215,198
4217,91
4218,106
4220,92
4221,365
4224,207
4227,377
4228,89
4230,114
4231,75
4233,150
4234,236
4236,45
4237,156
4240,396
4243,148
4244,40
4246,252
4247,153
4249,86
4250,91
4252,79
4253,305
4256,189
4259,290
4260,70
4262,107
4263,67
4265,162
4266,229
4268,25
4269,121
4272,355
4275,147
4276,27
4278,222
4279,110
4281,73
4282,95
4284,64
4285,291
4288,131
4291,281
4292,64
4294,93
4295,56
4297,130
4298,180
4300,39
4301,117
4304,325
4307,123
4308,33
4310,195
4311,119
4313,63
4314,80
4316,67
4317,257
4320,184
4323,279
4324,60
4326,85
4327,64
4329,135
4330,203
4332,34
4333,136
4336,374
4339,126
4340,27
4342,242
4343,157
4345,81
4346,106
4348,69
4349,318
4352,205
4355,258
4356,78
4358,91
4359,55
4361,145
4362,213
4364,25
4365,118
4368,340
4371,114
4372,35
4374,189
4375,122
4377,76
4378,108
4380,87
4381,313
4384,156
4387,282
4388,64
4390,107
4391,89
4393,141
4394,264
4396,38
4397,157
4400,436
4403,144
4404,31
4406,275
4407,199
4409,84
4410,126
4412,74
4413,413
4416,201
4419,420
4420,103
4422,125
4423,68
4425,179
4426,258
4428,32
4429,143
4432,416
4435,139
4436,33
4438,203
4439,138
4441,79
4442,90
4444,51
4445,241
4448,161
4451,228
4452,45
4454,73
4455,51
4457,75
4458,153
4460,15
4461,83
4464,240
4467,63
4468,27
4470,124
4471,110
4473,49
4474,58
4476,53
4477,202
4480,96
4483,183
4484,35
4486,53
4487,35
4489,71
4490,96
4492,23
4493,51
4496,198
4499,57
4500,15
4502,81
4503,62
4505,27
4506,45
4508,31
4509,113
4512,64
4515,105
4516,34
4518,41
4519,28
4521,51
4522,84
4524,15
